DATADATE,COUNTRY,EXHRATE
2016/11/27,USD,
2016/11/28,USD,31.992
2016/11/29,USD,32.007
2016/11/30,USD,32.062
2016/12/1,USD,32.072
2016/12/2,USD,32.097
2016/12/3,USD,
2016/12/4,USD,
2016/12/5,USD,32.172
2016/12/6,USD,32.122
2016/12/7,USD,32.077
2016/12/8,USD,31.942
2016/12/9,USD,32.012
2016/12/10,USD,
2016/12/11,USD,
2016/12/12,USD,32.047
2016/12/13,USD,32.007
2016/12/14,USD,31.972
2016/12/15,USD,32.102
2016/12/16,USD,32.132
2016/12/17,USD,
2016/12/18,USD,
2016/12/19,USD,32.142
2016/12/20,USD,32.192
2016/12/21,USD,32.197
2016/12/22,USD,32.207
2016/9/1,GBP,42.56
2016/9/2,GBP,42.95
2016/9/3,GBP,
2016/9/4,GBP,
2016/9/5,GBP,42.76
2016/9/6,GBP,42.76
2016/9/7,GBP,42.74
2016/9/8,GBP,42.63
2016/9/9,GBP,42.74
2016/9/10,GBP,42.76
2016/9/11,GBP,
2016/9/12,GBP,42.95
2016/9/13,GBP,43.06
2016/9/14,GBP,42.66
2016/9/15,GBP,
2016/9/16,GBP,
2016/9/17,GBP,
2016/9/18,GBP,
2016/9/19,GBP,41.91
2016/9/20,GBP,41.74
2016/9/21,GBP,41.66
2016/9/22,GBP,41.86
2016/9/23,GBP,41.63
2016/9/24,GBP,
2016/9/25,GBP,
2016/9/26,GBP,41.49
2016/9/27,GBP,41.65
2016/9/29,GBP,41.67
2016/9/30,GBP,41.48
2016/10/1,GBP,
2016/10/2,GBP,
2016/10/3,GBP,41.12
2016/10/4,GBP,40.9
2016/10/5,GBP,40.74
2016/10/6,GBP,40.78
2016/10/7,GBP,40.06
2016/10/8,GBP,
2016/10/9,GBP,
2016/10/10,GBP,
2016/10/11,GBP,39.72
2016/10/12,GBP,39.79
2016/10/13,GBP,39.44
2016/10/14,GBP,39.45
2016/10/15,GBP,
2016/10/16,GBP,
2016/10/17,GBP,39.5
2016/10/18,GBP,39.63
2016/10/19,GBP,39.57
2016/10/20,GBP,39.59
2016/10/21,GBP,39.58
2016/10/22,GBP,
2016/10/23,GBP,
